"Zipcode","Area","Province or city"
"0400","International Correspondence School","San Juan"
"0401","Asian Development Bank","San Juan"
"0410","Radio Bible Class","San Juan"
"0420","Bible School on the Air","San Juan"
"0540","Febias College of Bible","Valenzuela"
"0560","Far East Broadcasting Corporation","Valenzuela"
"0700","Plain Truth Ministries","Makati"
"0701","Colgate Palmolive Philippines","Makati"
"0702","Citibank","Makati"
"0703","Sarmiento Enterprises","Makati"
"0704","Producers Bank","Makati"
"0705","Union Ajinomoto","Makati"
"0706","Faith Embassy","Makati"
"0707","Canadian Embassy","Makati"
"0708","Philippine National Oil Company","Makati"
"0709","A-Z Direct Marketing","Makati"
"0710","American Express","Makati"
"0711","Land Bank of the Philippines","Makati"
"0712","Prudential Bank","Makati"
"0713","BPI Family Savings Bank","Makati"
"0714","Philippine Manila Mission","Makati"
"0715","Marcopper Mining Corporation","Makati"
"0717","Diners Club","Makati"
"0718","International Center for Aquatic Resources","Makati"
"0719","Security Bank","Makati"
"0720","Bank of the Philippine Islands","Makati"
"0721","Philippine Long Distance Telephone Company","Makati"
"0722","World Executive Digest","Makati"
"0723","Japanese Embassy","Makati"
"0724","Sun Life Financial","Makati"
"0725","Insular Life Assurance Company","Makati"
"0726","Equitable PCI Bank","Makati"
"0727","Rizal Commercial Banking Corporation","Makati"
"0728","United Coconut Planters Bank","Makati"
"0730","Zuellig Pharma","Makati"
"0731","BCD Direct Marketing","Makati"
"0732","Export and Industry Bank","Makati"
"0740","Sycip, Gorres, Velayo and Co.","Makati"
"0750","Philippine Airlines","Makati"
"0760","Pilipinas Shell","Makati"
"0770","ACCRA Law Offices","Makati"
"0780","Mead Johnson Philippines","Makati"
"0788","Directories Philippines Corporation","Makati"
"0790","Atlantic, Gulf and Pacific","Makati"
"0800","Social Security System","Quezon City"
"0801","Camp Crame","Quezon City"
"0802","Camp Aguinaldo","Quezon City"
"0810","Araneta Center","Quezon City"
"0820","Bureau of Internal Revenue","Quezon City"
"0830","National Irrigation Administration","Quezon City"
"0840","V. Luna Hospital","Quezon City"
"0850","Philippine Heart Center","Quezon City"
"0860","Quezon City Hall","Quezon City"
"0870","Veterans Hospital","Quezon City"
"0880","Commission on Audit","Quezon City"
"0900","Manila Bulletin","Manila"
"0901","Adventist University of the Philippines","Manila"
"0902","Far East Broadcasting Company","Manila"
"0903","Manila Pavilion Hotel","Manila"
"0904","Midland Plaza Manila Hotel","Manila"
"0905","The Philippine Star","Manila"
"0906","Manila Medical Center","Manila"
"0907","San Miguel Corporation","Manila"
"0908","Pan-Filipino Shipping","Manila"
"0909","Summer Institute of Linguistics","Manila"
"0910","Department of Labor and Employment","Manila"
"0911","Philippine Statistics Authority","Manila"
"0912","Bureau of Plant Industry","Manila"
"0913","Manila Hotel","Manila"
"0914","Philippine Refining Company and Unilever Philippines","Manila"
"0915","International Correspondence Institute","Manila"
"0916","Radio Veritas","Manila"
"0917","Ateneo de Manila University","Manila"
"0918","Fil-Japan Shipping Company","Manila"
"0919","Manila Police District","Manila"
"0920","Sunbursts Publications","Manila"
"0921","Sofitel Philippine Plaza","Manila"
"0922","De La Salle University","Manila"
"0923","Don Stewart Evangelistic Association","Manila"
"0924","World Map","Manila"
"0925","Chinabank","Manila"
"0926","Caltex Philippines","Manila"
"0927","Philippine Veterans Affairs Office","Manila"
"0928","Philippine Campus Crusade for Christ","Manila"
"0930","United States Embassy","Manila"
"0940","Philippine National Bank","Manila"
"0960","International Rice Research Institute","Manila"
"0970","Department of Justice","Manila"
"0980","Asian Development Bank","Manila"
"0990","Philippine American Life and General Insurance Company","Manila"
"1000","Manila Central Post Office","Manila"
"1001","Quiapo","Manila"
"1002","Intramuros","Manila"
"1003","Santa Cruz (South)","Manila"
"1004","Malate","Manila"
"1005","San Miguel","Manila"
"1006","Binondo","Manila"
"1007","Paco","Manila"
"1008","Sampaloc (East)","Manila"
"1009","Santa Ana","Manila"
"1010","San Nicolas","Manila"
"1011","Pandacan","Manila"
"1012","Tondo (South)","Manila"
"1013","Tondo (North)","Manila"
"1014","Santa Cruz (North)","Manila"
"1015","Sampaloc (West)","Manila"
"1016","Santa Mesa","Manila"
"1017","San Andres","Manila"
"1018","Port Area (South)","Manila"
"1100","Central","Quezon City"
"1100","Piñahan","Quezon City"
"1100","Project 6","Quezon City"
"1101","Botocan","Quezon City"
"1101","Diliman","Quezon City"
"1101","Krus na Ligas","Quezon City"
"1101","Malaya","Quezon City"
"1101","Old Capitol Site","Quezon City"
"1101","San Vicente","Quezon City"
"1101","Sikatuna Village","Quezon City"
"1101","Teachers Village","Quezon City"
"1101","University of the Philippines Post Office","Quezon City"
"1101","University of the Philippines Village","Quezon City"
"1102","Amihan","Quezon City"
"1102","Claro","Quezon City"
"1102","Duyan-Duyan","Quezon City"
"1102","E. Rodriguez","Quezon City"
"1102","Kamias","Quezon City"
"1102","Quirino District (Project 2 and 3)","Quezon City"
"1102","Silangan","Quezon City"
"1103","Kamuning","Quezon City"
"1103","Laging Handa","Quezon City"
"1103","Obrero","Quezon City"
"1103","Paligsahan","Quezon City"
"1103","Roxas District","Quezon City"
"1103","Sacred Heart","Quezon City"
"1103","South Triangle","Quezon City"
"1104","Damayan","Quezon City"
"1104","Mariblo","Quezon City"
"1104","Nayon Kaunlaran","Quezon City"
"1104","Paraiso","Quezon City"
"1104","Phil-Am","Quezon City"
"1104","Santa Cruz","Quezon City"
"1104","Talayan","Quezon City"
"1104","West Triangle","Quezon City"
"1105","Alicia","Quezon City"
"1105","Bagong Pag-Asa","Quezon City"
"1105","Bungad","Quezon City"
"1105","Del Monte","Quezon City"
"1105","Katipunan","Quezon City"
"1105","Paltok","Quezon City"
"1105","Project 7 (Veterans Village)","Quezon City"
"1105","R. Magsaysay","Quezon City"
"1105","San Antonio","Quezon City"
"1105","Santo Cristo","Quezon City"
"1105","Veterans Village","Quezon City"
"1106","Apolonio Samson","Quezon City"
"1106","Baesa","Quezon City"
"1106","Bahay Toro","Quezon City"
"1106","Balintawak","Quezon City"
"1106","Balumbato","Quezon City"
"1106","Project 8","Quezon City"
"1106","Unang Sigaw","Quezon City"
"1107","New Era","Quezon City"
"1107","Pasong Tamo","Quezon City"
"1108","Loyola Heights","Quezon City"
"1108","Pansol","Quezon City"
"1109","Bagumbuhay","Quezon City"
"1109","Bayanihan","Quezon City"
"1109","Blue Ridge","Quezon City"
"1109","Cubao","Quezon City"
"1109","Dioquino Zobel","Quezon City"
"1109","Escopa","Quezon City"
"1109","Mangga","Quezon City"
"1109","Marilag","Quezon City"
"1109","Masagana","Quezon City"
"1109","Milagrosa","Quezon City"
"1109","Project 4","Quezon City"
"1109","San Roque","Quezon City"
"1109","Socorro","Quezon City"
"1109","Tagumpay","Quezon City"
"1109","Villa Maria Clara","Quezon City"
"1110","Bagumbayan","Quezon City"
"1110","Camp Aguinaldo","Quezon City"
"1110","Libis","Quezon City"
"1110","St. Ignatius","Quezon City"
"1110","Talampas","Quezon City"
"1110","Ugong Norte","Quezon City"
"1110","White Plains","Quezon City"
"1111","Bagong Lipunan","Quezon City"
"1111","Crame","Quezon City"
"1111","Immaculate Concepcion","Quezon City"
"1111","Kaunlaran","Quezon City"
"1111","Pinagkaisahan","Quezon City"
"1111","St. Martin de Porres","Quezon City"
"1112","Damayang Lagi","Quezon City"
"1112","Horseshoe","Quezon City"
"1112","Kalusugan","Quezon City"
"1112","Kristong Hari","Quezon City"
"1112","Mariana","Quezon City"
"1112","Valencia","Quezon City"
"1113","Don Manuel","Quezon City"
"1113","Doña Aurora","Quezon City"
"1113","Doña Imelda","Quezon City"
"1113","Doña Josefa","Quezon City"
"1113","San Isidro","Quezon City"
"1113","Santo Niño","Quezon City"
"1113","Santol","Quezon City"
"1113","Tatalon","Quezon City"
"1114","N.S Amoranto (Gintong Silahis)","Quezon City"
"1114","La Loma","Quezon City"
"1114","Lourdes","Quezon City"
"1114","Maharlika","Quezon City"
"1114","Sto. Domingo (Matalahib)","Quezon City"
"1114","Paang Bundok","Quezon City"
"1114","Salvacion","Quezon City"
"1114","San Isidro Labrador","Quezon City"
"1114","Santa Teresita","Quezon City"
"1114","Sienna","Quezon City"
"1114","St. Peter","Quezon City"
"1115","Balingasa","Quezon City"
"1115","Damar","Quezon City"
"1115","Manresa","Quezon City"
"1115","Masambong","Quezon City"
"1115","Pag-ibig sa Nayon","Quezon City"
"1115","San Jose","Quezon City"
"1116","Bagbag","Quezon City"
"1116","San Bartolome","Quezon City"
"1116","Sangandaan (GSIS Village)","Quezon City"
"1116","Sauyo","Quezon City"
"1116","Talipapa","Quezon City"
"1116","Tandang Sora","Quezon City"
"1117","Capri","Quezon City"
"1117","Gulod","Quezon City"
"1117","San Agustin","Quezon City"
"1117","Santa Lucia","Quezon City"
"1117","Santa Monica","Quezon City"
"1118","Fairview","Quezon City"
"1118","Pasong Putik","Quezon City"
"1119","Bagong Silangan","Quezon City"
"1119","Matandang Balara","Quezon City"
"1119","Payatas","Quezon City"
"1120","BF Homes","Quezon City"
"1120","Violago Homes","Quezon City"
"1121","Commonwealth","Quezon City"
"1121","Fairview (North)","Quezon City"
"1122","Fairview (South)","Quezon City"
"1123","Damong Maliit","Quezon City"
"1123","Novaliches Proper","Quezon City"
"1124","Kaligayahan","Quezon City"
"1125","Doña Faustina Subdivision","Quezon City"
"1125","Nagkaisang Nayon","Quezon City"
"1126","Batasan Hills","Quezon City"
"1126","Capitol Hills/Park","Quezon City"
"1127","Holy Spirit","Quezon City"
"1128","Culiat","Quezon City"
"1128","Vasra","Quezon City"
"1135","Araneta Center P.O. Boxes","Quezon City"
"1138","Murphy District P.O. Boxes","Quezon City"
"1141","Broadway Center P.O. Boxes","Quezon City"
"1144","University of the Philippines P.O. Boxes","Quezon City"
"1147","Novaliches P.O. Boxes","Quezon City"
"1200","Makati Central Post Office","Makati"
"1201","Fort Bonifacio","Makati"
"1202","Fort Bonifacio Naval Station","Makati"
"1203","San Antonio Village","Makati"
"1204","La Paz, Singkamas, and Tejeros","Makati"
"1205","Santa Cruz","Makati"
"1206","Kasilawan","Makati"
"1207","Carmona–Olympia","Makati"
"1208","Valenzuela","Makati"
"1209","Bel-Air","Makati"
"1210","Poblacion","Makati"
"1211","Guadalupe Viejo","Makati"
"1212","Guadalupe Nuevo","Makati"
"1213","Pinagkaisahan–Pitogo","Makati"
"1214","Cembo and South Cembo","Makati"
"1215","West Rembo","Makati"
"1216","East Rembo–Malapad na Bato","Makati"
"1217","Comembo","Makati"
"1218","Pembo","Makati"
"1219","Forbes Park North","Makati"
"1220","Forbes Park South","Makati"
"1221","Dasmariñas Village North","Makati"
"1222","Dasmariñas Village South","Makati"
"1223","San Lorenzo Village","Makati"
"1224","Makati Commercial Center (Ayala Center)","Makati"
"1225","Urdaneta Village","Makati"
"1226","Ayala Avenue–Paseo de Roxas","Makati"
"1227","Salcedo Village","Makati"
"1228","Greenbelt","Makati"
"1229","Legaspi Village","Makati"
"1230","Pio del Pilar","Makati"
"1231","Chino Roces","Makati"
"1231","Pasong Tamo–Ecology Village","Makati"
"1232","Magallanes Village","Makati"
"1233","Bangkal","Makati"
"1234","San Isidro","Makati"
"1235","Palanan","Makati"
"1300","Pasay City Central Post Office","Pasay"
"1301","Domestic Airport P.O.","Pasay"
"1302","San Rafael","Pasay"
"1303","San Roque","Pasay"
"1304","Santa Clara","Pasay"
"1305","San Jose","Pasay"
"1306","San Isidro","Pasay"
"1307","Philippine International Convention Center","Pasay"
"1308","Bay City","Pasay"
"1309","Villamor Airbase","Pasay"
"1400","Caloocan Central Post Office","Caloocan"
"1401","Baesa","Caloocan"
"1402","Santa Quiteria","Caloocan"
"1403","Grace Park East","Caloocan"
"1404","San Jose","Caloocan"
"1405","First Avenue–Seventh Avenue West","Caloocan"
"1406","Grace Park West","Caloocan"
"1407","University Hills","Caloocan"
"1408","Sangandaan","Caloocan"
"1409","Kaunlaran Village","Caloocan"
"1409","Kaunlaran Village","Navotas"
"1410","Maypajo","Caloocan"
"1411","Fish Market","Caloocan"
"1411","Fish Market","Navotas"
"1412","Isla de Cocomo","Caloocan"
"1412","Isla de Cocomo","Navotas"
"1413","Kapitbahayan","Caloocan"
"1413","Kapitbahayan (East)","Navotas"
"1420","Laguna","Caloocan"
"1421","Bagumbong–Villa Crystal","Caloocan"
"1422","Novaliches","Caloocan"
"1423","Lilles Ville Subdivision","Caloocan"
"1424","Capitol Parkland Subdivision","Caloocan"
"1425","Amparo Subdivision and Dela Costa Homes II Subdivision","Caloocan"
"1426","Bankers Village","Caloocan"
"1427","Tala Leprosarium–Victory Heights","Caloocan"
"1428","Bagong Silang","Caloocan"
"1440","Valenzuela Central Post Office","Valenzuela"
"1441","Karuhatan–Parada","Valenzuela"
"1442","Fortune Village","Valenzuela"
"1442","General T. de Leon","Valenzuela"
"1442","Paso de Blas","Valenzuela"
"1443","Dalandanan–West Canumay","Valenzuela"
"1444","Arkong Bato","Valenzuela"
"1444","Mabolo","Valenzuela"
"1444","Malanday","Valenzuela"
"1444","Pasolo","Valenzuela"
"1444","Polo","Valenzuela"
"1444","Rincon","Valenzuela"
"1445","Balangkas–Coloong","Valenzuela"
"1446","Lingunan","Valenzuela"
"1447","East Canumay–Lawang Bato Punturin","Valenzuela"
"1448","Mapulang Lupa","Valenzuela"
"1470","Malabon","Malabon"
"1470","Tinajeros","Malabon"
"1471","Catmon","Malabon"
"1472","Longos","Malabon"
"1473","Tonsuya","Malabon"
"1474","Acacia","Malabon"
"1475","Potrero","Malabon"
"1476","Araneta Subdivision","Malabon"
"1477","Maysilo","Malabon"
"1478","Santolan","Malabon"
"1479","Muzon","Malabon"
"1480","Dampalit","Malabon"
"1480","UFO","Malabon"
"1481","NCR","Malabon"
"1485","Navotas","Navotas"
"1489","Tangos","Navotas"
"1490","Tanza","Navotas"
"1496","Valenzuela P.O. Boxes","Valenzuela"
"1500","San Juan Central Post Office","San Juan"
"1502","Greenhills Post Office","San Juan"
"1503","Greenhills (North)","San Juan"
"1504","Eisenhower–Crame","San Juan"
"1550","Mandaluyong Central Post Office","Mandaluyong"
"1550","Barangay Plainview","Mandaluyong"
"1551","Vergara","Mandaluyong"
"1552","Shaw Boulevard","Mandaluyong"
"1553","National Center for Mental Health","Mandaluyong"
"1554","EDSA","Mandaluyong"
"1555","Wack Wack","Mandaluyong"
"1556","Greenhills South","Mandaluyong"
"1600","Pasig Central Post Office","Pasig"
"1601","San Joaquin","Pasig"
"1602","Pinagbuhatan","Pasig"
"1603","Kapitolyo","Pasig"
"1604","Ugong","Pasig"
"1605","Ortigas Post Office","Pasig"
"1606","Caniogan","Pasig"
"1607","Maybunga","Pasig"
"1608","Santa Lucia","Pasig"
"1609","Rosario","Pasig"
"1610","Santolan","Pasig"
"1611","Manggahan","Pasig"
"1612","Green Park","Pasig"
"1620","Aguhos","Pateros"
"1620","Magtanggol","Pateros"
"1621","Santa Ana","Pateros"
"1622","San Roque","Pateros"
"1623","San Pedro","Pateros"
"1630","Bagumbayan–Pinagsama","Taguig"
"1630","Western Bicutan","Taguig"
"1630","Palingon","Taguig"
"1631","Bicutan","Taguig"
"1632","Lower Bicutan–Ususan","Taguig"
"1633","Upper Bicutan","Taguig"
"1634","Nichols–McKinley (Bonifacio Global City)","Taguig"
"1634","Tilapya","Taguig"
"1635","Ususan and Palar Village","Taguig"
"1636","Bay Breeze Executive Village","Taguig"
"1637","Ibayo–Tipas","Taguig"
"1638","Ligid","Taguig"
"1638","Tuktukan","Taguig"
"1700","Don Galo","Parañaque"
"1700","Mon-El Subdivision","Parañaque"
"1700","Parañaque CPO","Parañaque"
"1701","Tambo","Parañaque"
"1702","Baclaran","Parañaque"
"1703","Marina Subdivision","Parañaque"
"1704","Santo Niño","Parañaque"
"1705","Ninoy Aquino International Airport","Parañaque"
"1706","Pulo","Parañaque"
"1707","San Antonio Valley 11 and 12","Parañaque"
"1708","Multinational Village","Parañaque"
"1709","South Admiral Village, Merville Park, and Moonwalk","Parañaque"
"1710","Executive Heights Subdivision","Parañaque"
"1711","Better Living Subdivision","Parañaque"
"1712","Miramar Subdivision","Parañaque"
"1713","United Parañaque Subdivision","Parañaque"
"1714","Ireneville Subdivision II","Parañaque"
"1715","San Antonio Valley 1","Parañaque"
"1716","Maywood Village II","Parañaque"
"1717","Manila Memorial Park","Parañaque"
"1718","BF Homes 2","Parañaque"
"1719","Ireneville Subdivision I & III","Parañaque"
"1719","Maywood Village I","Parañaque"
"1720","BF Homes 1","Parañaque"
"1740","Las Piñas Central Post Office","Las Piñas"
"1741","Remarville Subdivision","Las Piñas"
"1742","Pulang Lupa–Zapote","Las Piñas"
"1743","Cut-cut","Las Piñas"
"1744","Manuyo","Las Piñas"
"1745","Gatchalian Subdivision","Las Piñas"
"1746","Verdant Acres Subdivision","Las Piñas"
"1747","Moonwalk Subdivision–Talon","Las Piñas"
"1748","Manila Doctors Village","Las Piñas"
"1749","Angela Village","Las Piñas"
"1750","Almanza","Las Piñas"
"1751","T.S. Cruz Subdivision","Las Piñas"
"1752","Soldiers Hills Subdivision","Las Piñas"
"1770","Muntinlupa Central Post Office","Muntinlupa"
"1770","Sucat","Muntinlupa"
"1771","Buli and Cupang","Muntinlupa"
"1772","Bayanan and Putatan","Muntinlupa"
"1773","Tunasan","Muntinlupa"
"1776","Poblacion","Muntinlupa"
"1778","Aeropark Subdivision","Parañaque"
"1780","Ayala Alabang","Muntinlupa"
"1781","Filinvest City","Muntinlupa"
"1799","Alabang","Muntinlupa"
"1800","Marikina Central Post Office","Marikina"
"1801","San Roque–Calumpang","Marikina"
"1802","Industrial Valley","Marikina"
"1803","Barangka and Tañong","Marikina"
"1804","J. De La Peña (Provident Villages)","Marikina"
"1805","Malanday","Marikina"
"1806","Northern and Western Marikina River","Marikina"
"1807","Concepcion 1","Marikina"
"1808","Nangka","Marikina"
"1809","Parang","Marikina"
"1810","Marikina Heights","Marikina"
"1811","Concepcion 2 (SSS Village)","Marikina"
"1820","Bagong Nayon, Cupang, Mambagat, and Mayamot","Rizal"
"1850","San Mateo","Rizal"
"1860","Rodriguez","Rizal"
"1870","Antipolo","Rizal"
"1880","Teresa","Rizal"
"1900","Cainta","Rizal"
"1910","Pililla","Rizal"
"1920","Taytay","Rizal"
"1930","Angono","Rizal"
"1940","Binangonan","Rizal"
"1950","Cardona","Rizal"
"1960","Morong","Rizal"
"1970","Baras","Rizal"
"1980","Tanay","Rizal"
"1990","Jalajala","Rizal"
"2000","San Fernando","Pampanga"
"2001","Bacolor","Pampanga"
"2002","Santa Rita","Pampanga"
"2003","Guagua","Pampanga"
"2004","Sasmuan","Pampanga"
"2005","Lubao","Pampanga"
"2006","Floridablanca","Pampanga"
"2007","Basa Airbase","Pampanga"
"2008","Porac","Pampanga"
"2009","Angeles","Pampanga"
"2010","Mabalacat","Pampanga"
"2011","Magalang","Pampanga"
"2012","Arayat","Pampanga"
"2013","Candaba","Pampanga"
"2014","San Luis","Pampanga"
"2015","San Simon","Pampanga"
"2016","Apalit","Pampanga"
"2017","Masantol","Pampanga"
"2018","Macabebe","Pampanga"
"2019","Minalin","Pampanga"
"2020","Santo Tomas","Pampanga"
"2021","Mexico","Pampanga"
"2022","Santa Ana","Pampanga"
"2023","Clark Freeport Zone","Pampanga"
"2024","Balibago, Angeles","Pampanga"
"2100","Balanga","Bataan"
"2101","Pilar","Bataan"
"2102","Orion","Bataan"
"2103","Limay","Bataan"
"2104","Lamao","Bataan"
"2105","Mariveles","Bataan"
"2105","Bataan Export Processing Zone, Mariveles","Bataan"
"2107","Bagac","Bataan"
"2108","Morong","Bataan"
"2109","Refugee Processing Center, Morong","Bataan"
"2110","Dinalupihan","Bataan"
"2111","Hermosa","Bataan"
"2112","Orani","Bataan"
"2113","Samal","Bataan"
"2114","Abucay","Bataan"
"2200","Olongapo","Zambales"
"2201","Iba","Zambales"
"2202","Botolan","Zambales"
"2203","Cabangan","Zambales"
"2204","San Felipe","Zambales"
"2205","San Narciso","Zambales"
"2206","San Antonio","Zambales"
"2207","San Marcelino","Zambales"
"2208","Castillejos","Zambales"
"2209","Subic","Zambales"
"2210","Palauig and Scarborough Shoal","Zambales"
"2211","Masinloc","Zambales"
"2212","Candelaria","Zambales"
"2213","Santa Cruz","Zambales"
"2222","Subic Bay Freeport Zone","Zambales"
"2300","Tarlac City","Tarlac"
"2301","San Miguel, Tarlac City","Tarlac"
"2302","Gerona","Tarlac"
"2303","Santa Ignacia","Tarlac"
"2304","Mayantoc","Tarlac"
"2305","San Clemente","Tarlac"
"2306","Camiling","Tarlac"
"2307","Paniqui","Tarlac"
"2308","Moncada","Tarlac"
"2309","San Manuel","Tarlac"
"2310","Anao","Tarlac"
"2311","Ramos","Tarlac"
"2312","Pura","Tarlac"
"2313","Victoria","Tarlac"
"2314","La Paz","Tarlac"
"2315","Capas","Tarlac"
"2316","Concepcion","Tarlac"
"2317","Bamban","Tarlac"
"2318","San Jose","Tarlac"
"2400","Dagupan","Pangasinan"
"2401","Lingayen","Pangasinan"
"2402","Labrador","Pangasinan"
"2403","Sual","Pangasinan"
"2404","Alaminos","Pangasinan"
"2405","Anda","Pangasinan"
"2406","Bolinao","Pangasinan"
"2407","Bani","Pangasinan"
"2408","Agno","Pangasinan"
"2409","Mabini","Pangasinan"
"2410","Burgos","Pangasinan"
"2411","Dasol","Pangasinan"
"2412","Infanta","Pangasinan"
"2413","Mangatarem","Pangasinan"
"2414","Urbiztondo","Pangasinan"
"2415","Aguilar","Pangasinan"
"2416","Bugallon","Pangasinan"
"2417","Binmaley","Pangasinan"
"2418","Calasiao","Pangasinan"
"2419","Santa Barbara","Pangasinan"
"2420","San Carlos","Pangasinan"
"2421","Malasiqui","Pangasinan"
"2422","Basista","Pangasinan"
"2423","Bayambang","Pangasinan"
"2424","Bautista","Pangasinan"
"2425","Alcala","Pangasinan"
"2426","Santo Tomas","Pangasinan"
"2427","Villasis","Pangasinan"
"2428","Urdaneta","Pangasinan"
"2429","Mapandan","Pangasinan"
"2430","Manaoag","Pangasinan"
"2431","San Jacinto","Pangasinan"
"2432","Mangaldan","Pangasinan"
"2433","San Fabian","Pangasinan"
"2434","Sison","Pangasinan"
"2435","Pozorrubio","Pangasinan"
"2436","Binalonan","Pangasinan"
"2437","Laoac","Pangasinan"
"2438","San Manuel","Pangasinan"
"2439","Asingan","Pangasinan"
"2440","Santa Maria","Pangasinan"
"2441","Rosales","Pangasinan"
"2424","Balungao","Pangasinan"
"2443","Umingan","Pangasinan"
"2444","San Quintin","Pangasinan"
"2445","Tayug","Pangasinan"
"2446","Natividad","Pangasinan"
"2447","San Nicolas","Pangasinan"
"2500","San Fernando","La Union"
"2501","Bauang","La Union"
"2502","Caba","La Union"
"2503","Aringay","La Union"
"2504","Agoo","La Union"
"2505","Santo Tomas","La Union"
"2506","Rosario","La Union"
"2508","Pugo","La Union"
"2509","Tubao","La Union"
"2510","Burgos","La Union"
"2511","Naguilian","La Union"
"2512","Bagulin","La Union"
"2513","San Gabriel","La Union"
"2514","San Juan","La Union"
"2515","Bacnotan","La Union"
"2516","Santol","La Union"
"2517","Balaoan","La Union"
"2518","Luna","La Union"
"2519","Bangar","La Union"
"2520","Sudipen","La Union"
"2600","Baguio","Benguet"
"2601","La Trinidad","Benguet"
"2602","Philippine Military Academy, Baguio","Benguet"
"2603","Tuba","Benguet"
"2604","Itogon","Benguet"
"2605","Bokod","Benguet"
"2606","Kabayan","Benguet"
"2607","Buguias","Benguet"
"2608","Mankayan","Benguet"
"2609","Lepanto, Mankayan","Benguet"
"2610","Bakun","Benguet"
"2611","Kibungan","Benguet"
"2612","Atok","Benguet"
"2613","Kapangan","Benguet"
"2614","Sablan","Benguet"
"2615","Tublay","Benguet"
"2616","Bontoc","Mountain Province"
"2617","Sadanga","Mountain Province"
"2618","Besao","Mountain Province"
"2619","Sagada","Mountain Province"
"2620","Tadian","Mountain Province"
"2621","Bauko","Mountain Province"
"2622","Sabangan","Mountain Province"
"2623","Barlig","Mountain Province"
